sentence,aspect,sentiment
XStream is a simple library to serialize objects to XML and back again.,"usability,functional",POS
"If your xml is generated from an instance of CampaignFrameResponse class, u can use xstream.",functional,POS
"Xstream wont support in your case, it can be used for convert object to xml then get back again.",functional,POS
You can think about JAXB or XStream as libraries that serialize object to XML.,functional,POS
The xstream doc has a good converter tutorial which includes details on how to register a custom converter.,documentation,POS
"Try for example Genson, it will work out of the box.",usability,POS
"See the JavaDoc for xstream.addImplicitCollection(Class, String, Class)",documentation,POS
"I have always used it to load an object into memory in a single line, but if you need to stream it and process as you go you should be able to use a HierarchicalStreamReader to iterate through the document.","usability,functional",POS
I was able to fix a similar error message by updating to xstream 1.4.4 Now it's jdk7 friendlier.,compatibility,POS
"Have a look at xstream, a simple and commonly used Java XML serialization library.","community,usability",POS
Once you deserialize using xstream it will give back the object so you don't have to do manual conversion.,functional,POS
xstream also supports serializing to json as well.,functional,POS
"Basically, I think it makes writing APIs (as opposed to just writing an application) easier, because you can infer a lot more from objects, and thereby less configuration will be necessary...I didn't appreciate the implications of annotations until I saw them being used in things like spring or xstream instead of reams of config.",usability,POS
Use ignoreUnknownElements for tags which are not implemented yet or has been removed and you are dealing with old xml.,functional,POS
XStream 1.4.5 supports dealing with tags which are not implemented.,functional,POS
"If you just want XML manipulation (i.e, adding nodes) you could try some other APIs like jdom or xstream or some such thing.",functional,POS
"According to the XStream API, the XStream object can read from any number of different inputs, including directly from a Reader.",functional,POS
"If you do not mind it, then using xstream and apache fileutils is an excellent solution and less coding.",usability,POS
"Having said that, it is still possible to keep the xstream extension in your own code, even in the future, while the API of the 3.0 version of the is compatible with the one used by your version of the xstream extension.",compatibility,POS
"In all honesty, I just remembered that XStream had the capabilities to initialize objects without calling constructors, without having the time at the moment of answering the question to dig further into it.",functional,POS
I use xstream for Java - it's very simple.,usability,POS
The xstream.fromXML() method will do the reading from the input stream for you.,functional,POS
"There is also a small javafx xstream converter collection called XStreamFX, which might holds interesting converters for you.",functional,POS
For that you'll find a tutorial here or here if you like annotations.,documentation,POS
Please find the xstream api and example here: http://x-stream.github.io/alias-tutorial.html,documentation,POS
"try xstream, it is the most programmer friendly java xml api I know of",usability,POS
"I think you can use xstream, this is a library to convert xml data to java class and other way.",functional,POS
"But as for me, most tasks can be done with XStream, which lightweight and more easy (imho)",usability,POS
"In other words, JAXB allows storing and retrieving data in memory in any XML format, without the need to implement a specific set of XML loading and saving routines for the program's class structure.",functional,POS
"JAXB provides two main features: the ability to marshal Java objects into XML and the inverse, i.e. to unmarshal XML back into Java objects.",functional,POS
"This can be aided by a number of libraries such as xstream, jaxb, castor, xmlbeans, which all provides routines to marshall an object into xml.",functional,POS
Java object serialization (using ObjectOutputStream and ObjectInputStream) and XStream can both write objects to streams that are backed by in-memory buffers; e.g. ByteArrayOutputStream.,functional,POS
See addImplicitCollection() (for example) and the XStream Annotations Tutorial.,documentation,POS
"I'm not sure, but you might wanna look at xstream (http://x-stream.github.io/) if you just try to serialize and deserialize objects to XML and back.",functional,POS
Very easy to use library to convert XML into java objects.,"usability,functional",POS
"It is pretty standard practice to store your document object fields in a normal relational way using hibernate, and use some XML marshaller to convert it to XML and back, e.g. xstream or CXF.",functional,POS
If you want the data ordered by their occurence in XML instance then you could ask xtream to map it to List implementations but I am not sure xstream guarantees this behavior.,functional,POS
You can use SequenceInputStream to concatenate virtual content to the original inputstream:,functional,POS
"JAXB is not only used to serialize to xml, it can deserialize from the xml as well.",functional,POS
"A message body writer for Java class java.util.ArrayList, and Java type java.util.ArrayList, and MIME media type application/xml was not found Problem was solved by adding XmlRootElement at the begining of the class (See jaxb documentation) (Need jaxb-impl.jar and jaxb-api.jar in server classpath)",documentation,POS
JAX-RS supports an automatic mapping from JAXB annotated class to XML and JSON.,functional,POS
"Incurring the cost of opening and closing connections can be alleviated/removed by using a connection pool like c3p0, DBCP, BoneCP (and others).",performance,POS
try c3p0 pooling....which would be easier for u.....,usability,POS
"For connection pool, there are many options available such as c3p0 & apache dbcp.",functional,POS
"Finally, to address the timeout problem and test of connection pooled, use DBCP instead of c3p0, a more robust solution",reliability,POS
c3p0 is another option which has a directly constructable datasource which has pooling built in.,functional,POS
c3p0 can test the connection in several ways:,functional,POS
A lot of monitoring information is accessible via the BoneCP connection pool class (BoneCP).,functional,POS
the simplest solution is to add c3p0.testConnectionOnCheckin to your config.,usability,POS
"As indicated in the URL referenced by Austin's comment above, you can use JMX to inspect and modify running c3p0 PooledDataSources.",functional,POS
I found certain problems in dbcp but c3p0 is working fine.,reliability,POS
"As for c3p0, I believe it provides connection monitoring via JMX, as it's discussed in the related question.",functional,POS
c3p0 ConnectionTesters should handle any Exception during a test by returning ConnectionTester.CONNECTION_IS_INVALID.,functional,POS
c3p0 has lots of means of testing Connections and preventing them from timing out or going stale.,functional,POS
Links to status code explanations are literally in the same block of code you referred to: https://github.com/wwadge/bonecp/blob/master/bonecp/src/main/java/com/jolbox/bonecp/ConnectionHandle.java#L163,documentation,POS
"Incidentally, the c3p0 project is pretty much dead in the water, I recommend you use Apache Commons DBCP instead, it's still being maintained.",community,POS
"But an easy way around this is to make use of the fact that c3p0's ""password"" property is just a configurable c3p0 property, which can be set in a wide-variety of ways.",usability,POS
"Incidentally, the c3p0 project is pretty much dead in the water, I recommend you use Apache Commons DBCP instead, it's still being maintained.",community,POS
"These libraries, of which c3p0, DBCP and BoneCP, are the most famous, allow you to create data sources with ability to pool connections and/or statements.",functional,POS
This would be pretty easy to do in c3p0 for example.,usability,POS
"For validating the group, you then just need to call Validator.validate(T Object, Class<?>... groups).",functional,POS
Hibernate has built-in support for integrating with both c3p0 and proxool as back end connection pools (Hibernate will set up and manage the c3p0/proxool pool for you and use that pool for connection management).,functional,POS
"Enhanced performance is the purpose of Connection and Statement pooling especially if you are acquiring an unpooled Connection for each client access, this is the major goal of the c3p0 library.",performance,POS
You can use the c3p0 connection pooling for hibernate.,functional,POS
"c3p0 provides connection pool for Hibernate, as The built-in Hibernate connection pool is in no way intended for production use.",functional,POS
"If you are using hibernate and you want access to the c3p0 Connection pool it is already using , one easy approach would be to use the C3P0Registry class to find the DataSource, see here and here.",usability,POS
c3p0 support this feature as documented in Configuring Connection Testing and you're actually already using one of the various options.,functional,POS
c3p0 will log a great deal at DEBUG levels.,functional,POS
"c3p0 pools Statements transparently, meaning you should use exactly the same API you would have used with no pooling.",usability,POS
"if you've enabled Statement pooling in c3p0 (as you have), then internally c3p0 will check to see whether the Statement has already been prepared, and if so it will quietly use the cached version rather than forwarding the request to the dbms.",functional,POS
Here is a simple example using c3p0 api,documentation,POS
"If some query did not return result within specified time period (as you specified for c3p0.unreturnedConnectionTimeout property in c3p0.properties file), then current session will be destroyed and new session will be pulled out from session pool, but your code is working on previous session that is already destroyed.",reliability,POS
"If you are not in a J2EE container context, use a standalone connection pool implementation, something like c3p0 (prefer c3p0 over DBCP which is considered as out of date and less robust under load) and forget JNDI (which is just the standard way to get a handle on a connection pool when you are running inside a J2EE container).",reliability,POS
"If it's about database connections handling, maybe use a connection pool like c3p0 but forget JNDI.",functional,POS
So you no need to specify the hibernate connection pool size property when you are using c3p0 connection pooling,usability,POS
(You should be able to see this if you dump stack traces or use JMX to monitor c3p0.,functional,POS
"c3p0 will recover from a database outage of arbitrary duration, as long as breakOnAcquireFailure is not set to true.",functional,POS
This means the first step would be to read the documentation for C3P0ConnectionProvider to find out how it talks to c3p0.,documentation,POS
c3p0 works fine in general with java 1.6+.,compatibility,POS
you might want to upgrade to c3p0 0.9.2.1 or the latest 0.9.5 prerelease if you haven't already (although earlier releases do work in 1.6+).,compatibility,POS
"unwrap() is a JDBC4 method, supported by c3p0 as of c3p0-0.9.5. Since you want an OracleCallableStatement, you will probably want to call the unwrap() method of a CallableStatement, rather than the unwrap() method of a Connection, as you try above.",compatibility,POS
c3p0 pools spawn their own maintenance Threads.,functional,POS
"c3p0 will maintain a pool of Connections, so all of this will be fast.",performance,POS
"2) the latest (still pre-release) version of c3p0 has some settings designed to reduce the likelihood of contamination between c3p0 Threads and objects derived from expired web-app ClassLoaders, especially if c3p0 is loaded by a non web-app specific ClassLoader (e.g. if c3p0 libs live in $CATALINA_HOME/lib rather than in a webapp lib directory).",functional,POS
"Also in my own experience c3p0 does have some nice features, like prepared statement pooling and is more configurable than DBCP, but DBCP is plainly faster in any environment I have used it in.","usability,performance",POS
"i would suggest to use something like c3p0 or BoneCP to set-up a connection pool, can be done for MySQL without too much hassle.",usability,POS
c3p0 internally maintains a separate pool for each user.,functional,POS
"I got this problem on c3p0 0.9.5-pre6 with mchange-commons-java 0.2.6.3. After downgrading to c3p0 0.9.5-pre5 and mchange-commons-java 0.2.6.2, the problem disappears.",compatibility,POS
c3p0 has two configuration parameters unreturnedConnectionTimeout and debugUnreturnedConnectionStackTraces to help you work around and (please!),functional,POS
"The dependencies that you list above look okay, hibernate-c3p0-4.3.0.Final depends on the same version of c3p0 that you have added explicitly.",compatibility,POS
"You can also check dbcp but c3p0 shows better performance, supports auto-reconnection and some other features.","performance,functional",POS
Connection pooling libraries like c3p0 have lots of configurations that allow you to tweak the behavior according to your requirements.,functional,POS
"If you choose to go with c3p0, you'll find that all configurations possible are well documented here.",documentation,POS
"c3p0 requires no special setup for long-running queries, although there are some settings (in particular unreturnedConnectionTimeout) that could interfere with long-running queries if set.",usability,POS
"if their thing happens to bring the pool to something lower than minPoolSize, then c3p0 will automatically bring the pool back to minPoolSize.",functional,POS
"I have some anecdotal evidence that c3p0 works well with Tomcat, but your mileage my vary.",compatibility,POS
"Maybe investigate a lightweight approach which a generic pooling library (maybe you find something interesting in commons-pool, or c3p0) may be easier.",usability,POS
"c3p0 implements its own PreparedStatement caching, if you enable that by setting a nonzero maxStatements or maxStatementsPerConnection.",functional,POS
c3p0 just works with Connection objects via standard JDBC.,compatibility,POS
"It could be HikariCP, we fixed some issues with connection cleanup at shutdown in 1.3.9 (released this week).",reliability,POS
You could easily handle the situation with connection pool (e.g. c3p0).,usability,POS
"I haven't tried, but if you are using one of the other Spring-Boot supported connection pools (currently HikariCP or Commons DBCP) you should be able to set the properties the same way, but you'll need to look at the project documentation to know what is available.",documentation,POS
"If you can use BoneCP, you could configure your data source to enable logging statements, and set a log4j logger for com.jolbox.bonecp to debug, and you are set.",functional,POS
"If you're using a database pool, like c3p0 or dbcp, look in its documentation, there should be settings to configure idle timeouts or periodic checking of the connection (which will keep the connection open, and not time it out on the server side)",functional,POS
"By the way, Hibernate 4.3.6 now includes it own HikariCP ConnectionProvider, so if you use that it should be in preference to the one provided by HikariCP.",functional,POS
"The connection provider expects that HikariCP properties have been set in hibernate.properties, as documented here.",usability,POS
slf4j support is a c3p0 0.9.5 feature.,functional,POS
It is very easy to dynamically create and configure c3p0 DataSources.,usability,POS
Other popular choice is tomcat pool or c3p0 which is slower but very mature and robust.,"reliability,performance",POS
Use c3p0 config params unreturnedConnectionTimeout and debugUnreturnedConnectionStackTraces to debug a Connection leak.,functional,POS
"While you are at it, you might want to try the HikariCP database connection pool instead of c3p0 (I suspect HikariCP is better at recovering from broken database connections).","functional,reliability",POS
"However, for maximum performance and responsiveness to spike demands, we recommend not setting this value and instead allowing HikariCP to act as a fixed size connection pool.",performance,POS
"c3p0 will recover in the sense that if the DBMS goes down and then comes back up again, when it comes back up, new Connections will become available for new Sessions and the app will work again.",reliability,POS
"This is a relatively slow process in Oracle, you may want to consider using a connection pool (e.g. Apache Commons DBCP, or c3p0) to improve performance.",performance,POS
c3p0 and libraries under com.mchange in general are intended to log at INFO level for normal use.,functional,POS
try to open session in View layer and and try to use HikariCP will speedup connection speed,performance,POS
"If you really want a fast system, something like c3p0 is great.",performance,POS
I was using c3p0 along with DataNucleus/JPA and it was easy to switch to BoneCP.,usability,POS
"While HikariCP is a database connection pool, you can use ConcurrentBag as is, use the HouseKeeper basically as is, slightly modify PoolBagEntry, and lift the basic gist from getConnection() and releaseConnection(), to create a generic pool.",functional,POS
"In Tomcat 7 (starting with 7.0.19 in July 2011) an additional connection pool was included in default Tomcat package (as part of tomcat-jdbc.jar) as alternative to stale apache commons implementation, called ""The Tomcat JDBC Connection Pool"":",functional,POS
"This discussion seems to discourage its use, arguing that c3p0 is more actively maintained.",community,POS
"Spring makes things look easy, but it hides the details of how/when things are constructed, destroyed, etc. I think the key question you may have to answer is why/whether Spring is creating multiple EntityManagerFactory instances (or recreating the c3p0 DataSource multiple times within a single EntityManagerFactory).",usability,POS
"c3p0 maintains a pool of Connections, which are reused for multiple clients.",functional,POS
Removed the bonecp and used hibernate 4.3.* default supported hikaricp,compatibility,POS
c3p0 includes a workaround for these fragile drivers.,functional,POS
There are initSql extension provided in c3p0 by default.,functional,POS
HikariCP will only be used to create the Datasource if there is no other provider in classpath.,functional,POS
c3p0 can detect and observe when Connections have been closed out from underneath it by the DBMS via Connection testing.,functional,POS
The whole point of a Connection pool like c3p0 is to keep Connections open so that they can be reused.,functional,POS
Note that enabling any of c3p0 properties automatically enables the corresponding connection provider by hibernate heuristics.,functional,POS
"Docs: See c3p0 docs on this issue, here and here",documentation,POS
"This will ensure that c3p0 Threads try to load classes using the same ClassLoader that loaded the library, ie the same logical CLASSPATH as the one containing c3p0.",functional,POS
"c3p0 can be configured to test the Connections that it pools in a variety of ways, to minimize the likelihood that your application will see broken or ""stale"" Connections.",functional,POS
"c3p0 provides users a great deal of flexibility in testing Connections, via the following configuration parameters:",functional,POS
The simplest way to speed up Connection testing under a JDBC 3 driver (or a pre-0.9.5 version of c3p0) is to define a test query with the preferredTestQuery parameter.,usability,POS
IMHO HikariCP is also far more predictable and simpler to use than c3p0.,usability,POS
"I'm using c3p0 , which does everything 'under the hood'.",usability,POS
"(1)if you use c3p0 ,you can specify the idle_test_period to solve this problem.",functional,POS
You should then configure a connection pooling DataSource and have a minSize equal to maxSize and equal to 8. Try HikariCP or ViburDBCP for connection pooling.,functional,POS
A better choice is to verify connections periodically using c3p0.idleConnectionTestPeriod.,functional,POS
c3p0 checks Connection isolation levels one time per Connection acquired.,functional,POS
"If your pool implements JDBC transparent Statement caching (as c3p0 does), you just use the ordinary JDBC PreparedStatement API and reuse of cached statements is handled for you.",functional,POS
"If using c3p0 then check how you can best use setting like idle_test_period, preferredTestQuery and testConnectionOnCheckout; If using dbcp then validationQuery can do the job.",functional,POS
You need to use a DataSource with connection pooling to create your connections (eg C3P0 or HikariCP).,functional,POS
"if you are using hibernate with c3p0, you can use c3p0 config connectionCustomizerClassName whitch you can set to a class doing work with connections c3p0 got.",functional,POS
"Rather than putting up with a hang, you could set the config parameter c3p0.checkoutTimeout, so that if c3p0 doesn't have a good Connection to hand you relatively quickly, it sets you free with an Exception.",reliability,POS
"You can ask c3p0 whether Connections are likely to be immediately available, via methods on c3p0's PooledDataSource interface.",functional,POS
"If you can modify the entity, you can try working with groups, but if not you can either use Validator.validateProperty to just validate the property.",functional,POS
"If it is about testing, you can use Validator.validateValue to just validate a given field.",functional,POS
See also official doc for c3p0 here.,documentation,POS
"in my experience for my specific task, running c3p0 performs faster than dbcp2 v:2.1.1 under the same environment.",performance,POS
"This page on the Hibernate wiki details how to configure the c3p0 connection pool, including the timeout settings.",documentation,POS
"Taking into account that c3p0 and similars are almost abandoned, I would use HirakiCP which is really fast and reliable.","performance,reliability",POS
"c3p0 is a Java library for JDBC drivers with JNDI-bindable DataSources, including DataSources that implement Connection and Statement Pooling, as described by the jdbc3 spec and jdbc2 std extension.",functional,POS
"From the understanding that i get , based on the HikariCP configuration you have , the PersistenceUnit will automatically be injected into your code so that the right DS provider is picked up and used during execution.",functional,POS
"Better use HikariCP since it's the fastest one, and it's also available in Hibernate 4.3.",performance,POS
"There is a ""c3p0.minPoolSize"" parameter for c3p0, but no mandatory max size, so it will grow as you need.",functional,POS
"If you are using Spring Boot 1.4, there's no need for explicit definition of data source when using HikariCP.",functional,POS
"A ""fail-over pattern"" for HikariCP is described here (only available with option allowPoolSuspension described on the configuration page):",documentation,POS
"But not all database connection pools are equal and I now prefer HikariCP because, in my experience, it handles the ""database down"" scenario more predictably.",reliability,POS
"If you want connection pooling, use a third party connection pool library like HikariCP, DBCP or c3p0.",functional,POS
DBCP2 has a DelegatingStatement.getInnermostDelegate method to get the PreparedStatement object created by the Microsoft driver.,functional,POS
"c3p0 always releases Connections with autoCommit set to true, per the JDBC spec.",functional,POS
Instead of using @Hardy mentioned solution with @GroupSequence you can validate fields manually using reflection before your Validator.validate call.,functional,POS
And c3p0 uses SHOW TRANSACTION ISOLATION LEVEL to keep the connection open (normal and expected behavior).,functional,POS
"c3p0 internally checked the Connection then, decided the Connection was broken, and emitted an event (specified by the JDBC spec, but of interest only to internal listeners) indicating a Connection error.",functional,POS
"In any case, you can always use your own explicit connection pool (I'm partial to HikariCP), so you don't need to guess and you'll know exactly what you're doing with your pool.",functional,POS
See also the initialization example on the HikariCP page.,documentation,POS
"Also, as you are using HikariCP it wouldn't be a bad idea to take a look at the HikariCP docs, in particular the idleTimeout and the minimumIdle config variables should help you.",documentation,POS
"Many high-performance libraries use this approach, for example, here is code of FastList class from HikariCP (fastest java DB connection pool):",performance,POS
This was twice as fast as c3p0 and fixed other issues I was having with DBCP.,performance,POS
"No. As @MarkRotteveel suggested in a comment to the question, we can use a c3p0 connection customizer to tweak each connection as it is acquired for the pool.",functional,POS
... then whenever c3p0 acquires a new SQLite connection for the pool it will automatically perform the ATTACH DATABASE for us.,functional,POS
If you are using maven or gradle (you should be) you can use a pool like HikariCP and create a jdbc connection pool like this.,functional,POS
"The BoneCP documentation isn't super specific about its defaults, but you can easily reverse engineer this from com.jolbox.bonecp.BoneCPConfig.","documentation,usability",POS
"Hibernates uses c3p0 to handle datasource creation and connections, you can configure using properties all the parameters, and this will handle reconnections for you keeping a conection pool ready for use.",functional,POS
I prefer using dbcp or c3p0 because they are vendor neutral.,community,POS
c3p0 was designed to be butt-simple to use.,usability,POS
Using c3p0 is a good idea in general and should also allow you to detect #1 faster.,performance,POS
c3p0 is good when we are using mutithreading projects.,performance,POS
"Some people get better performance out of c3p0, some get better out of DBCP.",performance,POS
Also I find c3p0 debug hanging connections feature extremely useful for tracking connection leaks which can be otherwise extremely hard to find.,functional,POS
Per specifications and my experience it out-performs c3p0.,performance,POS
Per specs it is also alot cleaner than dbcp or c3p0.,usability,POS
In c3p0 you can specify a number of helper threads.,functional,POS
"I think my tasks are all so short-lived that DBCP couldn't follow with closing/releasing connections, since c3p0 works more asynchronous and you can specify the number of helperthreads, it is able to release my connections in time.",functional,POS
"Why not just extend the PropertyPlaceholderConfigurer class so that i can get properties from your XML file (use commons-configuration or some other package like that), and put an instance of that in your spring config?",discarded,
Your commons-configuration jar file missed in your classpath.,discarded,
You might also take a look at apache commons-configuration project.,discarded,
In commons-configurations jar there is this class:,discarded,
The hadoop jar should upgrade there commons-configuration which is five years old right now.,discarded,
The Maven dependencies for commons-configuration v1.9 show that it depends upon commons-lang 2.6.,discarded,
"Commons-configuration 1.9 uses commons-lang 2.6, but commons-configuration 2.0-SNAPSHOT uses commons-lang3.",discarded,
"For my own use, I updated my maven dependency to use commons-configuration version 2.0-SNAPSHOT, and this seems to be fixed.",discarded,
Then I ran mvn dependency:tree and finally found out that mye commons-configuration actually was using commons-logging,discarded,
"For the configuration stored in database, I would go for another approach like commons-configuration as you pointed.",discarded,
I used 1.10 version of commons-configuration and works fine:,discarded,
"That's because, version 1.x of the artifact commons-configuration was really under the commons-configuration group.",discarded,
If we analize commons-configuration.pom we will see that commons-collection dependency is optional,discarded,
library like e.g. apache commons-configuration ( https://commons.apache.org/proper/commons-configuration/ ) within your Character-constructor.,discarded,
Example pom.xml excerpt assuming commons-configuration uses the vulnerable commons-collections,discarded,
I have used apache commons-configuration and it's worked fine:,discarded,
"That will allow you to work around expired issues, provided that the build knows it's supposed to pull your version of the artifact instead of the original commons-configuration.",discarded,
org.apache.commons.configuration.Configuration is not found in Apache commons-lang.,discarded,
"commons-configuration is the best way to go, I think.",discarded,
"There are multiple ways to read it, one being apache commons-configuration.",discarded,
"Concerning the problem at hand: you will need to add the artifact ""com.typesafe""/""config"" to your classpath (the exact version depends on which Akka version you are using, I suggest using a dependency management tool like Maven or SBT).",discarded,
It's supposed to come from here in that trace: https://github.com/typesafehub/config/blob/v1.0.2/config/src/main/java/com/typesafe/config/impl/ConfigImpl.java#L365 Which in turn comes from: https://github.com/typesafehub/config/blob/v1.0.2/config/src/main/java/com/typesafe/config/ConfigFactory.java#L380,discarded,
Line 509 on master doesn't look like it could be quite the right line: https://github.com/typesafehub/config/blob/master/config/src/main/java/com/typesafe/config/impl/Parseable.java#L509,discarded,
Version 1.0.2 line 509 looks maybe more likely: https://github.com/typesafehub/config/blob/v1.0.2/config/src/main/java/com/typesafe/config/impl/Parseable.java#L509,discarded,
Please look at the project's readme file to find more about this great configuration library https://github.com/typesafehub/config,discarded,
"Take a look at the Typesafe Config library, which is what Play Framework uses.",discarded,
"This is the exact approach I take in developing my library: Typesafe Config Guice, which binds config values from a Typesafe Config file to annotated parameters and fields.",discarded,
On com.typesafe.config.ConfigException; so you have a too new library.,discarded,
For 2nd option take a look at TypeSafe Config Lib.,discarded,
It seems that the library used by WebDriverManager for configuration (com.typesafe.config) is not able to find the properties file for some reason.,discarded,
"If you want something more enhanced, take a look at Typesafe's Config Library.",discarded,
"Configuration is a playframework Configuration, which internally uses Typesafe's Config library.",discarded,
"You can use libraries/framework like: Spring/Spring Boot, Typesafe Config etc. But... there is no problem in writing it by yourself, it's just a call to System.getProperty(), Properties.load() etc.",discarded,
Look at this piece of code from org.apache.commons.digester.parser.XercesParser,discarded,
Thus you can guess the missing library is commons-digester.,discarded,
add commons-digester.jar to your classpath and you should be through,discarded,
The commons-digester.jar needed to be in WEB-INF/lib so that it was able to find the MenuItem class since the EAR classpath doesn't have visibility to the web classpath.,discarded,
Also make sure there are no other commons-digester jars in your application lib or server commons lib folder.,discarded,
Looks like the file commons-digester.jar is missing in your classpath.,discarded,
In my pom.xml I have changed version of commons-digester to 1.8 from 2.0 and excluded log4j from the dependencies which have log4j.jar present in them.,discarded,
This use case is what e.g. commons-digester is made for: https://commons.apache.org/proper/commons-digester/guide/core.html,discarded,
seems like you did not add the apache commons-digester.jar into the classpath.,discarded,
"Back in struts 1.x when this was written, commons-digester was part of the struts package so why mention commons-digester in the struts-menu documentation?",discarded,
In MenuRepository.java there was an import of commons-digester.,discarded,
"That is now no longer the case, so one has to separately download commons-digester.",discarded,
"(In my case it is org.apache.commons.digester.Digester from commons-digester.jar, in masch's case it is org.springframework.core.io.support.PropertiesLoaderUtils from spring.jar)",discarded,
You should use 1.7 version of commons-digester library.,discarded,
"Another solution was to casll digester.setClassLoader(MyTemplate.class.getClassLoader()), but that feels like quite an ugly solution in this context.",discarded,
"I ran this in JBoss, and it turned out that commons-digester.jar was not in JBoss's lib directory, but rather in a webapp's lib directory.",discarded,
The problem is with digester1.8. Use commons-digester1.8.1.jar instead of commons-digester1.8.jar.,discarded,
"The documentation of this feature is there ¬¨√ü4 ""Verifying exact number of invocations / at least x / never"", and the never javadoc is here.",discarded,
This is described at https://static.javadoc.io/org.mockito/mockito-core/2.8.47/org/mockito/Mockito.html#ignore_stubs_verification although I believe that the code example there currently contains a misprint.,discarded,
Looking at the Mockito documentation here I think option 2 is the recommended way (using the mockito-core artifact).,discarded,
Note from mockito Issue 397: This problem does not appear with mockito-core.,discarded,
"Also, if JUnit 4.1.1 + Hamcrest 1.3 + Mockito 1.9.5 are being used, make sure mockito-all is not used.",discarded,
Take a look at the Mockito API docs.,discarded,
"Mockito matchers are invoked through static methods such as eq, any, gt, and startsWith on org.mockito.Matchers and org.mockito.AdditionalMatchers.",discarded,
"The Hamcrest version 1.1 Matcher has been packaged within the dependency, so we can not exclude it....",discarded,
I believe that verifyZeroInteractions might be what you're looking for.,discarded,
I solved the problem by replacing mockito-core.jar with mockito-all.jar,discarded,
"As a workaround, you should consider using mockito-core (1.8.5 if want to use the same version) and at least 4.9 version of junit (where they started to bundle hamcrest properly: as a dependency).",discarded,
You can use a Mockito Spy for this.,discarded,
"dependencies { // other dependencies will be here, just add the following line: testCompile(""org.mockito:mockito-core:1.10.19"") }",discarded,
"If you are using Maven, then it should automatically resolve the dependency when using mockito-core.",discarded,
Make sure you get the mockito-all artifact which includes all dependencies in one Jar.,discarded,
"You could still use mock(), but I prefer using annotations.",discarded,
"NOTE: The above has switched to ArgumentMatchers in newer versions of Mockito, to avoid a name collision with org.hamcrest.Matchers.",discarded,
Older versions of Mockito will need to keep using org.mockito.Matchers as above.,discarded,
"You can do it using verifyNoMoreInteractions, which verifies that the object had no more interactions.",discarded,
"Otherwise please exclude mockito-all when declaring powermock dependency, mockito-all is a dependency for non-maven users (that still use the central repository).",discarded,
Use mockito-core in your imports instead of mockito-all to exclude the matcher.,discarded,
I had fix it after exclude mockito-core artifact:,discarded,
"Based on what you've posted, I recommend using the 'Mockito.when()' method for the first method, then setting obj = null; as @Seelenvirtuose suggests.",discarded,
"Also, the docs explain this use-case (emphasis mine):",discarded,
"@InjectMocks documentation describes the behavior, which may be less documented or deterministic than you'd prefer:",discarded,
Then you can verify that some method was invoked on mock with specific parameters with mockito library: http://static.javadoc.io/org.mockito/mockito-core/2.3.0/org/mockito/Mockito.html#1,discarded,
Review the Mockito API for your use case.,discarded,
This you will achieve e.g. by using Mockito framework and its @Spy functionality.,discarded,
"You can do this using a spy, like explained here: https://static.javadoc.io/org.mockito/mockito-core/2.7.17/org/mockito/Mockito.html#13",discarded,
Here is an example from the AdditionalMatchers javadoc:,discarded,
"You need MockitoAnnotations.initMocks(this) inside your @Before method, since you are not running the test case with MockitoJUnitRunner (refer to https://static.javadoc.io/org.mockito/mockito-core/2.7.20/org/mockito/Mockito.html#mock_annotation).",discarded,
I've used on-demand injection in a few unit test cases where I wanted to inject mock dependencies in the component under test and field injection was used (that's why I try to avoid field injections :-) ) AND I preferred not to use InjectMocks for certain reasons.,discarded,
Mockito docs suggest to use the doX() family of methods.,discarded,
I just ran into the same issue with Mockito (org.mockito:mockito-core:1.10.19).,discarded,
You could use thenReturn with multiple arguments like this:,discarded,
And the home page of mockito answer http://static.javadoc.io/org.mockito/mockito-core/2.8.9/org/mockito/stubbing/Answer.html,discarded,
here is examples from mockito documentation Verifying exact number of invocations / at least x / never,discarded,
I have tried various version of mockito-core and mockito-all.,discarded,
Have a look to the documentation: Mockito,discarded,
By checking the documentation of InvocationOnMock you can check how to get the Method and the Object that is called.,discarded,
You need to import https://static.javadoc.io/org.mockito/mockito-core/2.8.47/org/mockito/ArgumentMatchers.html#anyString() for that.,discarded,
The documentation for this is here: http://static.javadoc.io/org.mockito/mockito-core/2.9.0/org/mockito/Mockito.html#4,discarded,
"The most-idiomatic way of doing this is with verifyNoMoreInteractions, as in Mockito docs #8:",discarded,
The resource https://static.javadoc.io/org.mockito/mockito-core/2.8.9/org/mockito/Mockito.html#stubbing_with_exceptions might be useful - it describes how to stub void methods call.,discarded,
"For example, if you wanted to only include mockito-core in environments with a framework ID of test, your dependencies.yml file would look like the following:",discarded,
The following code sample from this Mockito documentation illustrates how to mock a void method:,discarded,
"After adding the required jar file (mockito-all jar), create a test like this.",discarded,
You have the mockito-all.jar not the mockobjects all ver 1.9.5,discarded,
The latest non-beta version for mockito is here: http://mvnrepository.com/artifact/org.mockito/mockito-all/1.10.19,discarded,
"I have included the following two jars with maven, but you don't need to use maven: https://mvnrepository.com/artifact/org.powermock/powermock-module-junit4/1.4.6 and https://mvnrepository.com/artifact/org.powermock/powermock-api-mockito/1.4.9 and https://mvnrepository.com/artifact/org.mockito/mockito-all/1.10.19",discarded,
And include mockito-all 1.9.5 as a dependency:,discarded,
